PC-Miler Practical Mileage,Spot Avg Linehaul Rate,Spot Low Linehaul Rate,Spot High Linehaul Rate,Spot Fuel Surcharge,Spot Time Frame,Spot Origin Geo Expansion,Spot Destination Geo Expansion,Spot # of Companies,Spot # of Reports,Spot Your Own Avg Linehaul Rate,Spot Your Own # of Reports,Spot Error,Orig City,Orig State,Orig Postal Code,Dest City,Dest State,Dest Postal Code,Truck Type,ID (or Optional field),Note: Omit the header line when submitting your request
716,0.99,0.90,1.06,0.31,15,10-3-Digit Zip,20-Mkt area,24,65,,,,ATLANTA,GA,,CHICAGO,IL,,V,,
784,1.29,1.03,1.64,0.31,15,10-3-Digit Zip,10-3-Digit Zip,8,32,,,,ATLANTA,GA,,DALLAS,TX,,V,,
2173,1.03,0.86,1.13,0.31,15,10-3-Digit Zip,20-Mkt area,14,34,,,,ATLANTA,GA,,LOS ANGELES,CA,,V,,
758,1.56,1.37,1.73,0.31,15,10-3-Digit Zip,20-Mkt area,12,29,,,,ATLANTA,GA,,PHILADELPHIA,PA,,V,,
2670,1.38,1.28,1.66,0.31,15,20-Mkt area,20-Mkt area,19,63,,,,ATLANTA,GA,,SEATTLE,WA,,V,,
792,1.35,1.21,1.46,0.31,15,10-3-Digit Zip,10-3-Digit Zip,10,51,,,,ATLANTA,GA,,HOUSTON,TX,,V,,
1127,1.05,0.99,1.14,0.31,15,20-Mkt area,20-Mkt area,35,87,,,,ATLANTA,GA,,MINNEAPOLIS,MN,,V,,
379,1.34,1.06,1.53,0.31,15,10-3-Digit Zip,10-3-Digit Zip,20,57,,,,ATLANTA,GA,,MEMPHIS,TN,,V,,
567,1.21,1.02,1.38,0.31,15,10-3-Digit Zip,20-Mkt area,14,35,,,,ATLANTA,GA,,COLUMBUS,OH,,V,,
420,1.39,1.12,1.59,0.31,15,10-3-Digit Zip,10-3-Digit Zip,10,29,,,,ATLANTA,GA,,LOUISVILLE,KY,,V,,
245,2.10,1.93,2.15,0.31,15,10-3-Digit Zip,10-3-Digit Zip,20,61,,,,ATLANTA,GA,,CHARLOTTE,NC,,V,,
722,1.23,1.02,1.32,0.31,15,10-3-Digit Zip,20-Mkt area,12,39,,,,ATLANTA,GA,,DETROIT,MI,,V,,
552,1.15,1.08,1.36,0.31,15,10-3-Digit Zip,20-Mkt area,4,12,,,,ATLANTA,GA,,ST LOUIS,MO,,V,,
661,1.87,1.78,2.50,0.31,15,10-3-Digit Zip,20-Mkt area,8,28,,,,ATLANTA,GA,,BALTIMORE,MD,,V,,
815,0.99,0.84,1.00,0.31,15,10-3-Digit Zip,20-Mkt area,4,11,,,,ATLANTA,GA,,MILWAUKEE,WI,,V,,
345,2.29,2.11,2.59,0.31,15,10-3-Digit Zip,10-3-Digit Zip,18,91,,,,ATLANTA,GA,,JACKSONVILLE,FL,,V,,
467,1.40,1.14,1.55,0.31,15,10-3-Digit Zip,10-3-Digit Zip,7,19,,,,ATLANTA,GA,,NEW ORLEANS,LA,,V,,
716,1.87,1.78,1.93,0.31,15,10-3-Digit Zip,10-3-Digit Zip,7,14,,,,CHICAGO,IL,,ATLANTA,GA,,V,,
928,1.76,1.52,2.18,0.31,15,10-3-Digit Zip,10-3-Digit Zip,13,27,,,,CHICAGO,IL,,DALLAS,TX,,V,,
2025,1.23,1.07,1.53,0.31,15,10-3-Digit Zip,20-Mkt area,23,56,,,,CHICAGO,IL,,LOS ANGELES,CA,,V,,
758,1.90,1.78,2.09,0.31,15,10-3-Digit Zip,20-Mkt area,10,17,,,,CHICAGO,IL,,PHILADELPHIA,PA,,V,,
2064,1.36,1.21,1.50,0.31,15,20-Mkt area,20-Mkt area,34,75,,,,CHICAGO,IL,,SEATTLE,WA,,V,,
1085,1.51,1.35,2.08,0.31,15,10-3-Digit Zip,10-3-Digit Zip,11,28,,,,CHICAGO,IL,,HOUSTON,TX,,V,,
409,1.66,1.55,1.90,0.31,15,10-3-Digit Zip,10-3-Digit Zip,9,28,,,,CHICAGO,IL,,MINNEAPOLIS,MN,,V,,
532,1.45,1.29,1.66,0.31,15,10-3-Digit Zip,10-3-Digit Zip,8,19,,,,CHICAGO,IL,,MEMPHIS,TN,,V,,
352,2.18,1.88,2.39,0.31,15,10-3-Digit Zip,20-Mkt area,19,47,,,,CHICAGO,IL,,COLUMBUS,OH,,V,,
297,2.06,1.86,2.07,0.31,15,10-3-Digit Zip,10-3-Digit Zip,6,16,,,,CHICAGO,IL,,LOUISVILLE,KY,,V,,
770,1.66,1.54,1.77,0.31,15,10-3-Digit Zip,10-3-Digit Zip,10,18,,,,CHICAGO,IL,,CHARLOTTE,NC,,V,,
281,2.73,2.57,3.01,0.31,15,10-3-Digit Zip,10-3-Digit Zip,7,18,,,,CHICAGO,IL,,DETROIT,MI,,V,,
294,2.21,2.09,2.44,0.31,15,10-3-Digit Zip,10-3-Digit Zip,7,11,,,,CHICAGO,IL,,ST LOUIS,MO,,V,,
700,2.20,1.98,2.46,0.31,15,10-3-Digit Zip,20-Mkt area,11,38,,,,CHICAGO,IL,,BALTIMORE,MD,,V,,
94,4.25,3.95,4.49,0.31,15,10-3-Digit Zip,10-3-Digit Zip,6,13,,,,CHICAGO,IL,,MILWAUKEE,WI,,V,,
1065,1.70,1.59,1.83,0.31,15,20-Mkt area,20-Mkt area,26,65,,,,CHICAGO,IL,,JACKSONVILLE,FL,,V,,
923,1.76,1.60,2.03,0.31,15,20-Mkt area,20-Mkt area,27,65,,,,CHICAGO,IL,,NEW ORLEANS,LA,,V,,
784,1.15,0.97,1.27,0.31,15,10-3-Digit Zip,10-3-Digit Zip,7,19,,,,DALLAS,TX,,ATLANTA,GA,,V,,
928,0.88,0.79,0.94,0.31,15,10-3-Digit Zip,20-Mkt area,23,51,,,,DALLAS,TX,,CHICAGO,IL,,V,,
1440,0.90,0.83,0.98,0.31,15,10-3-Digit Zip,20-Mkt area,20,109,,,,DALLAS,TX,,LOS ANGELES,CA,,V,,
